dataset,label0,label1,count0,count1,samples,balance
NCI1,00:3,02:5ecbe997f6ba4ab448e09dd7742ac734,429,646,1075,0.66
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:5ecbe997f6ba4ab448e09dd7742ac734,428,576,1004,0.74
NCI1,00:3,02:bbecb1f1073f446a1b89a34c3f6effab,427,506,933,0.84
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:08d67943ef5ef0b5f7f87c3b78e6aef9,425,616,1041,0.69
NCI1,00:3,01:eb07b23e9ae0447795e18c4290d34441,425,705,1130,0.60
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:eb07b23e9ae0447795e18c4290d34441,422,628,1050,0.67
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:a355458c6a7cf7e453160375f1b55649,421,922,1343,0.46
NCI1,00:3,01:a2e52562004ee025ea81ce1a75923c92,420,618,1038,0.68
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:a2e52562004ee025ea81ce1a75923c92,416,566,982,0.73
NCI1,01:dc17532c495527c57f92fd5e26993c9f,01:d989828e3ba6121ffbb18a77ef8520ea,434,416,850,0.96
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:5f89fa2ba56e0816109b7b7a701b667c,539,415,954,0.77
NCI1,00:3,02:a355458c6a7cf7e453160375f1b55649,415,960,1375,0.43
NCI1,01:dc17532c495527c57f92fd5e26993c9f,01:2ebd9ac9059c44341593ffe062223595,415,633,1048,0.66
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:279a16b20b199cc6757db7021808789b,516,413,929,0.80
NCI1,00:1,01:702ead2a58e99387e754ab32bea96576,872,410,1282,0.47
NCI1,00:3,02:08d67943ef5ef0b5f7f87c3b78e6aef9,409,656,1065,0.62
NCI1,01:dc17532c495527c57f92fd5e26993c9f,01:702ead2a58e99387e754ab32bea96576,409,1004,1413,0.41
NCI1,01:dc17532c495527c57f92fd5e26993c9f,01:a2e52562004ee025ea81ce1a75923c92,594,409,1003,0.69
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:5f89fa2ba56e0816109b7b7a701b667c,409,436,845,0.94
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:9951bc9e3bf024ec6542563ceedc0415,409,414,823,0.99
NCI1,00:3,02:89ba7f08f7256493d6003652202319e3,467,408,875,0.87
NCI1,00:3,02:279a16b20b199cc6757db7021808789b,490,403,893,0.82
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,01:d989828e3ba6121ffbb18a77ef8520ea,400,436,836,0.92
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:89f698e3e1554e30f713baddf67a6259,994,399,1393,0.40
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:354e6647d4a4f4080ce49df42f15223a,398,678,1076,0.59
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:5f89fa2ba56e0816109b7b7a701b667c,758,397,1155,0.52
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:bbecb1f1073f446a1b89a34c3f6effab,698,397,1095,0.57
NCI1,01:dc17532c495527c57f92fd5e26993c9f,01:a7d9b83145654c07790172dcd5a7b61c,397,826,1223,0.48
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,01:a7d9b83145654c07790172dcd5a7b61c,397,876,1273,0.45
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,02:cbd4aaf041f9c40683f7422dd5396386,1000,397,1397,0.40
NCI1,01:dc17532c495527c57f92fd5e26993c9f,01:7c82ae96e6e4f158d9a0e7e289c6cab4,395,828,1223,0.48
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:2ebd9ac9059c44341593ffe062223595,694,395,1089,0.57
NCI1,00:3,02:9951bc9e3bf024ec6542563ceedc0415,510,391,901,0.77
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:760d6b5df69317ed0a069e2609bb2771,389,520,909,0.75
NCI1,00:3,02:5f89fa2ba56e0816109b7b7a701b667c,504,388,892,0.77
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,01:702ead2a58e99387e754ab32bea96576,384,1047,1431,0.37
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:e97400e9da6c4d9ed81a9dde7e8bf731,379,572,951,0.66
NCI1,03:598b75c84aa93acab28ebafaefe4b788,03:bc024b8c72e9fb75cd2d8489a726661d,379,572,951,0.66
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:eb07b23e9ae0447795e18c4290d34441,891,378,1269,0.42
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,01:2ebd9ac9059c44341593ffe062223595,377,653,1030,0.58
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:5f89fa2ba56e0816109b7b7a701b667c,374,451,825,0.83
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:0dbb852f0053ac44de3103179cdb45d6,380,374,754,0.98
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:702ead2a58e99387e754ab32bea96576,374,1066,1440,0.35
NCI1,03:598b75c84aa93acab28ebafaefe4b788,01:a2e52562004ee025ea81ce1a75923c92,374,610,984,0.61
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:bbecb1f1073f446a1b89a34c3f6effab,603,373,976,0.62
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:bbecb1f1073f446a1b89a34c3f6effab,373,506,879,0.74
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:9951bc9e3bf024ec6542563ceedc0415,372,433,805,0.86
NCI1,00:3,01:0bb389b12346dc3a33bc96653224bb46,523,372,895,0.71
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:d989828e3ba6121ffbb18a77ef8520ea,368,668,1036,0.55
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:354e6647d4a4f4080ce49df42f15223a,367,715,1082,0.51
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:279a16b20b199cc6757db7021808789b,367,432,799,0.85
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:a2e52562004ee025ea81ce1a75923c92,947,367,1314,0.39
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,01:7c82ae96e6e4f158d9a0e7e289c6cab4,364,855,1219,0.43
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,01:0bb389b12346dc3a33bc96653224bb46,385,363,748,0.94
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:5f89fa2ba56e0816109b7b7a701b667c,362,441,803,0.82
NCI1,00:3,01:d989828e3ba6121ffbb18a77ef8520ea,361,638,999,0.57
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,02:e97400e9da6c4d9ed81a9dde7e8bf731,1080,361,1441,0.33
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,03:bc024b8c72e9fb75cd2d8489a726661d,1080,361,1441,0.33
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:0dbb852f0053ac44de3103179cdb45d6,371,360,731,0.97
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:9951bc9e3bf024ec6542563ceedc0415,370,357,727,0.96
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,02:5ecbe997f6ba4ab448e09dd7742ac734,905,357,1262,0.39
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:85c8ff98fe896e8ac9b9f0cfc9de1657,356,778,1134,0.46
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:6ab3dccfb7c78fd6724070fe4729a22a,374,355,729,0.95
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:bbecb1f1073f446a1b89a34c3f6effab,654,355,1009,0.54
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:cbd4aaf041f9c40683f7422dd5396386,353,625,978,0.56
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:354e6647d4a4f4080ce49df42f15223a,352,701,1053,0.50
NCI1,03:598b75c84aa93acab28ebafaefe4b788,01:89f698e3e1554e30f713baddf67a6259,351,627,978,0.56
NCI1,00:1,01:a7d9b83145654c07790172dcd5a7b61c,916,349,1265,0.38
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:bbecb1f1073f446a1b89a34c3f6effab,347,477,824,0.73
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:0dbb852f0053ac44de3103179cdb45d6,551,345,896,0.63
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:e97400e9da6c4d9ed81a9dde7e8bf731,344,626,970,0.55
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,03:bc024b8c72e9fb75cd2d8489a726661d,344,626,970,0.55
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:279a16b20b199cc6757db7021808789b,344,430,774,0.80
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:379f9030d2c3f1dc8b65fd57b4cc56b4,360,344,704,0.96
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:e97400e9da6c4d9ed81a9dde7e8bf731,342,614,956,0.56
NCI1,04:3b80c0108e852671675976fa20f8eee6,03:bc024b8c72e9fb75cd2d8489a726661d,342,614,956,0.56
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:5ecbe997f6ba4ab448e09dd7742ac734,341,632,973,0.54
NCI1,00:1,01:7c82ae96e6e4f158d9a0e7e289c6cab4,874,341,1215,0.39
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:379f9030d2c3f1dc8b65fd57b4cc56b4,360,339,699,0.94
NCI1,04:3b80c0108e852671675976fa20f8eee6,01:a4ef450f3f7518847ea88b96e055c223,360,339,699,0.94
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,02:08d67943ef5ef0b5f7f87c3b78e6aef9,884,339,1223,0.38
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:6ab3dccfb7c78fd6724070fe4729a22a,551,338,889,0.61
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:89ba7f08f7256493d6003652202319e3,338,460,798,0.73
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,01:a4ef450f3f7518847ea88b96e055c223,349,337,686,0.97
NCI1,03:598b75c84aa93acab28ebafaefe4b788,01:eb07b23e9ae0447795e18c4290d34441,337,688,1025,0.49
NCI1,00:1,02:a355458c6a7cf7e453160375f1b55649,1215,337,1552,0.28
NCI1,00:3,01:2ebd9ac9059c44341593ffe062223595,336,853,1189,0.39
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:08d67943ef5ef0b5f7f87c3b78e6aef9,335,671,1006,0.50
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,03:a16d96e7b819297b552468f9510672ed,376,331,707,0.88
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,04:ef1b74fd347915aafcb268ad7d742e35,376,331,707,0.88
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:379f9030d2c3f1dc8b65fd57b4cc56b4,528,330,858,0.62
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:89ba7f08f7256493d6003652202319e3,330,467,797,0.71
NCI1,00:3,01:a7d9b83145654c07790172dcd5a7b61c,328,1127,1455,0.29
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:0dbb852f0053ac44de3103179cdb45d6,395,328,723,0.83
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,01:0bb389b12346dc3a33bc96653224bb46,328,364,692,0.90
NCI1,03:598b75c84aa93acab28ebafaefe4b788,01:0bb389b12346dc3a33bc96653224bb46,419,327,746,0.78
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:a4ef450f3f7518847ea88b96e055c223,519,326,845,0.63
NCI1,04:3b80c0108e852671675976fa20f8eee6,03:a16d96e7b819297b552468f9510672ed,370,326,696,0.88
NCI1,04:3b80c0108e852671675976fa20f8eee6,04:ef1b74fd347915aafcb268ad7d742e35,370,326,696,0.88
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:9951bc9e3bf024ec6542563ceedc0415,535,325,860,0.61
NCI1,04:3b80c0108e852671675976fa20f8eee6,01:0bb389b12346dc3a33bc96653224bb46,369,325,694,0.88
NCI1,01:306bba0232fc46dd395dfd3674efb043,01:0bb389b12346dc3a33bc96653224bb46,324,383,707,0.85
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,01:eb07b23e9ae0447795e18c4290d34441,323,745,1068,0.43
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:5ecbe997f6ba4ab448e09dd7742ac734,323,684,1007,0.47
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:cbd4aaf041f9c40683f7422dd5396386,322,683,1005,0.47
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:5f89fa2ba56e0816109b7b7a701b667c,680,322,1002,0.47
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,01:89f698e3e1554e30f713baddf67a6259,321,685,1006,0.47
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:bbecb1f1073f446a1b89a34c3f6effab,321,545,866,0.59
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:9951bc9e3bf024ec6542563ceedc0415,321,431,752,0.74
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:2ebd9ac9059c44341593ffe062223595,320,882,1202,0.36
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:cbd4aaf041f9c40683f7422dd5396386,320,667,987,0.48
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:da942b9ec0bcf7117f328682fd90e171,322,320,642,0.99
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:a355458c6a7cf7e453160375f1b55649,320,1030,1350,0.31
NCI1,00:1,01:78e17253f4b55d79e51e0ad4501a1e75,319,417,736,0.76
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:5f89fa2ba56e0816109b7b7a701b667c,319,427,746,0.75
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:6ab3dccfb7c78fd6724070fe4729a22a,319,361,680,0.88
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:0dbb852f0053ac44de3103179cdb45d6,319,338,657,0.94
NCI1,01:306bba0232fc46dd395dfd3674efb043,03:a16d96e7b819297b552468f9510672ed,318,338,656,0.94
NCI1,01:306bba0232fc46dd395dfd3674efb043,04:ef1b74fd347915aafcb268ad7d742e35,318,338,656,0.94
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,03:a16d96e7b819297b552468f9510672ed,550,317,867,0.58
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,04:ef1b74fd347915aafcb268ad7d742e35,550,317,867,0.58
NCI1,04:3b80c0108e852671675976fa20f8eee6,01:89f698e3e1554e30f713baddf67a6259,317,669,986,0.47
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:9951bc9e3bf024ec6542563ceedc0415,317,430,747,0.74
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:da942b9ec0bcf7117f328682fd90e171,373,316,689,0.85
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:5f89fa2ba56e0816109b7b7a701b667c,316,458,774,0.69
NCI1,03:598b75c84aa93acab28ebafaefe4b788,03:a16d96e7b819297b552468f9510672ed,415,316,731,0.76
NCI1,03:598b75c84aa93acab28ebafaefe4b788,04:ef1b74fd347915aafcb268ad7d742e35,415,316,731,0.76
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,01:a2e52562004ee025ea81ce1a75923c92,315,658,973,0.48
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:9951bc9e3bf024ec6542563ceedc0415,740,315,1055,0.43
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:9951bc9e3bf024ec6542563ceedc0415,693,314,1007,0.45
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,03:a16d96e7b819297b552468f9510672ed,325,314,639,0.97
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,04:ef1b74fd347915aafcb268ad7d742e35,325,314,639,0.97
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:379f9030d2c3f1dc8b65fd57b4cc56b4,315,314,629,1.00
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:0bb389b12346dc3a33bc96653224bb46,543,313,856,0.58
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:a4f8c3124c85be423f2528251aa89ead,374,313,687,0.84
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:0dbb852f0053ac44de3103179cdb45d6,313,359,672,0.87
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:d989828e3ba6121ffbb18a77ef8520ea,797,312,1109,0.39
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:a4f8c3124c85be423f2528251aa89ead,328,312,640,0.95
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:7c82ae96e6e4f158d9a0e7e289c6cab4,311,1020,1331,0.30
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:a4f8c3124c85be423f2528251aa89ead,371,311,682,0.84
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:354e6647d4a4f4080ce49df42f15223a,311,711,1022,0.44
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:6ab3dccfb7c78fd6724070fe4729a22a,311,359,670,0.87
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:9951bc9e3bf024ec6542563ceedc0415,751,310,1061,0.41
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:5f89fa2ba56e0816109b7b7a701b667c,736,309,1045,0.42
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:6ab3dccfb7c78fd6724070fe4729a22a,371,308,679,0.83
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:354e6647d4a4f4080ce49df42f15223a,308,659,967,0.47
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:379f9030d2c3f1dc8b65fd57b4cc56b4,307,346,653,0.89
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:a4f8c3124c85be423f2528251aa89ead,306,314,620,0.97
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:279a16b20b199cc6757db7021808789b,305,400,705,0.76
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:500c50e1451a93aa12d2b5bf78ad4aea,369,304,673,0.82
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,01:a4ef450f3f7518847ea88b96e055c223,304,319,623,0.95
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:6ab3dccfb7c78fd6724070fe4729a22a,761,303,1064,0.40
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:6ab3dccfb7c78fd6724070fe4729a22a,700,303,1003,0.43
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:e97400e9da6c4d9ed81a9dde7e8bf731,303,582,885,0.52
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,03:bc024b8c72e9fb75cd2d8489a726661d,303,582,885,0.52
NCI1,00:3,02:0dbb852f0053ac44de3103179cdb45d6,515,302,817,0.59
NCI1,00:3,02:da942b9ec0bcf7117f328682fd90e171,508,302,810,0.59
NCI1,00:3,01:a4ef450f3f7518847ea88b96e055c223,476,302,778,0.63
NCI1,00:3,02:6ab3dccfb7c78fd6724070fe4729a22a,511,301,812,0.59
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:6dbe4fa455c30b7a9625b42488515b1e,315,301,616,0.96
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:500c50e1451a93aa12d2b5bf78ad4aea,374,300,674,0.80
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:279a16b20b199cc6757db7021808789b,297,438,735,0.68
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:08d67943ef5ef0b5f7f87c3b78e6aef9,296,667,963,0.44
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:e97400e9da6c4d9ed81a9dde7e8bf731,296,626,922,0.47
NCI1,01:306bba0232fc46dd395dfd3674efb043,03:bc024b8c72e9fb75cd2d8489a726661d,296,626,922,0.47
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,02:5f89fa2ba56e0816109b7b7a701b667c,1158,296,1454,0.26
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:a355458c6a7cf7e453160375f1b55649,295,1067,1362,0.28
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,01:d989828e3ba6121ffbb18a77ef8520ea,295,690,985,0.43
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:da942b9ec0bcf7117f328682fd90e171,406,295,701,0.73
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:500c50e1451a93aa12d2b5bf78ad4aea,542,292,834,0.54
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:279a16b20b199cc6757db7021808789b,637,292,929,0.46
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:da942b9ec0bcf7117f328682fd90e171,313,292,605,0.93
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:a7d9b83145654c07790172dcd5a7b61c,290,1082,1372,0.27
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:a355458c6a7cf7e453160375f1b55649,290,985,1275,0.29
NCI1,03:33d3c163bb6c0826264e988c50b678d1,03:a16d96e7b819297b552468f9510672ed,773,290,1063,0.38
NCI1,03:33d3c163bb6c0826264e988c50b678d1,04:ef1b74fd347915aafcb268ad7d742e35,773,290,1063,0.38
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:89ba7f08f7256493d6003652202319e3,585,290,875,0.50
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:5ecbe997f6ba4ab448e09dd7742ac734,289,617,906,0.47
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:cbd4aaf041f9c40683f7422dd5396386,289,639,928,0.45
NCI1,00:3,02:a4f8c3124c85be423f2528251aa89ead,503,288,791,0.57
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:279a16b20b199cc6757db7021808789b,695,288,983,0.41
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,01:89f698e3e1554e30f713baddf67a6259,288,641,929,0.45
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:500c50e1451a93aa12d2b5bf78ad4aea,312,288,600,0.92
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:89ba7f08f7256493d6003652202319e3,645,287,932,0.44
NCI1,01:37cb61156a7e6a648e9474459ed96bb3,01:0bb389b12346dc3a33bc96653224bb46,287,380,667,0.76
NCI1,04:3b80c0108e852671675976fa20f8eee6,02:6dbe4fa455c30b7a9625b42488515b1e,367,286,653,0.78
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:cbd4aaf041f9c40683f7422dd5396386,286,682,968,0.42
NCI1,04:3b80c0108e852671675976fa20f8eee6,01:eb07b23e9ae0447795e18c4290d34441,285,669,954,0.43
NCI1,00:3,01:7c82ae96e6e4f158d9a0e7e289c6cab4,285,1044,1329,0.27
NCI1,01:306bba0232fc46dd395dfd3674efb043,01:89f698e3e1554e30f713baddf67a6259,285,684,969,0.42
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:d537dc70fd2b49cb161b3db97a789869,349,284,633,0.81
NCI1,01:f446e3e32408de037845db27af118a33,01:0bb389b12346dc3a33bc96653224bb46,284,384,668,0.74
NCI1,01:f446e3e32408de037845db27af118a33,02:0dbb852f0053ac44de3103179cdb45d6,284,318,602,0.89
NCI1,01:c65bbfae326767d26d5d4262b58dde8d,02:08d67943ef5ef0b5f7f87c3b78e6aef9,283,664,947,0.43
NCI1,00:3,03:a16d96e7b819297b552468f9510672ed,508,283,791,0.56
NCI1,00:3,04:ef1b74fd347915aafcb268ad7d742e35,508,283,791,0.56
NCI1,01:37cb61156a7e6a648e9474459ed96bb3,02:9951bc9e3bf024ec6542563ceedc0415,283,404,687,0.70
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:500c50e1451a93aa12d2b5bf78ad4aea,282,299,581,0.94
NCI1,01:37cb61156a7e6a648e9474459ed96bb3,02:0dbb852f0053ac44de3103179cdb45d6,282,315,597,0.90
NCI1,01:f446e3e32408de037845db27af118a33,02:9951bc9e3bf024ec6542563ceedc0415,281,412,693,0.68
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:f2a52df187b02ea74a1bd48ecb5babf4,408,281,689,0.69
NCI1,03:598b75c84aa93acab28ebafaefe4b788,03:f25a7c3ac44b3449ca84eddfa918f847,408,281,689,0.69
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:bbecb1f1073f446a1b89a34c3f6effab,281,529,810,0.53
NCI1,00:3,02:379f9030d2c3f1dc8b65fd57b4cc56b4,486,280,766,0.58
NCI1,01:f446e3e32408de037845db27af118a33,02:da942b9ec0bcf7117f328682fd90e171,280,321,601,0.87
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:89ba7f08f7256493d6003652202319e3,280,443,723,0.63
NCI1,01:37cb61156a7e6a648e9474459ed96bb3,02:a4f8c3124c85be423f2528251aa89ead,280,315,595,0.89
NCI1,01:37cb61156a7e6a648e9474459ed96bb3,02:da942b9ec0bcf7117f328682fd90e171,280,317,597,0.88
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:5ecbe997f6ba4ab448e09dd7742ac734,280,682,962,0.41
NCI1,04:3b80c0108e852671675976fa20f8eee6,01:a2e52562004ee025ea81ce1a75923c92,279,590,869,0.47
NCI1,01:f446e3e32408de037845db27af118a33,02:6dbe4fa455c30b7a9625b42488515b1e,279,312,591,0.89
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:6dbe4fa455c30b7a9625b42488515b1e,290,279,569,0.96
NCI1,01:37cb61156a7e6a648e9474459ed96bb3,02:6ab3dccfb7c78fd6724070fe4729a22a,279,381,660,0.73
NCI1,01:37cb61156a7e6a648e9474459ed96bb3,02:6dbe4fa455c30b7a9625b42488515b1e,279,307,586,0.91
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:6ab3dccfb7c78fd6724070fe4729a22a,385,279,664,0.72
NCI1,01:f446e3e32408de037845db27af118a33,02:6ab3dccfb7c78fd6724070fe4729a22a,278,378,656,0.74
NCI1,01:f446e3e32408de037845db27af118a33,02:a4f8c3124c85be423f2528251aa89ead,278,320,598,0.87
NCI1,03:598b75c84aa93acab28ebafaefe4b788,02:d537dc70fd2b49cb161b3db97a789869,396,278,674,0.70
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:89ba7f08f7256493d6003652202319e3,278,437,715,0.64
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,01:eb07b23e9ae0447795e18c4290d34441,278,744,1022,0.37
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:bbecb1f1073f446a1b89a34c3f6effab,277,518,795,0.53
NCI1,01:306bba0232fc46dd395dfd3674efb043,01:a4ef450f3f7518847ea88b96e055c223,277,335,612,0.83
NCI1,01:306bba0232fc46dd395dfd3674efb043,01:eb07b23e9ae0447795e18c4290d34441,276,737,1013,0.37
NCI1,01:306bba0232fc46dd395dfd3674efb043,02:5ecbe997f6ba4ab448e09dd7742ac734,276,678,954,0.41
NCI1,01:37cb61156a7e6a648e9474459ed96bb3,02:fa26a863793df7ae37bc53bbd7d3b3bf,276,294,570,0.94
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,01:a2e52562004ee025ea81ce1a75923c92,276,626,902,0.44
NCI1,01:e4796f4cca7cb4d0f839dae3e9b85f3e,02:fa26a863793df7ae37bc53bbd7d3b3bf,317,276,593,0.87
NCI1,01:f446e3e32408de037845db27af118a33,02:0877eb02f0f6b63b9ae6b2717efc6229,287,275,562,0.96
